X_pc,Y_pc,vr,d_vr,FeH,d_FeH,flag,P_member_position
-2809.229,-378.926,42.268,3.02,-0.69,0.24,0,6.39174057521132e-181
-1476.685,718.198,999.0,999.0,-0.61,0.28,0,1.4769716286453068e-75
-4865.383,-1196.129,999.0,999.0,-0.49,0.24,0,0.0
-3882.757,4414.526,30.016,3.22,-0.53,0.2,0,0.0
-1402.901,-3715.551,999.0,999.0,-0.8,0.22,0,0.0
4975.522,-2562.137,999.0,999.0,-0.73,0.23,0,0.0
4399.336,2268.261,999.0,999.0,-0.45,0.28,0,0.0
-85.525,-1989.049,999.0,999.0,-0.73,0.24,0,5.715277494776913e-192
-3985.273,-1040.807,999.0,999.0,-1.02,0.29,0,0.0
3976.003,-3351.821,999.0,999.0,-0.94,0.24,0,0.0
1577.283,-2045.661,999.0,999.0,-0.6,0.21,0,3.8047487808268826e-235
-3873.319,653.514,999.0,999.0,-0.97,0.26,0,0.0
323.064,-4151.657,999.0,999.0,-0.71,0.25,0,0.0
-2267.25,-4225.84,999.0,999.0,-0.85,0.21,0,0.0
1895.913,-1423.166,999.0,999.0,-0.97,0.21,0,3.515676476040355e-150
-1850.984,1527.447,999.0,999.0,-0.54,0.29,0,4.0701955911545434e-193
1793.597,476.312,999.0,999.0,-0.57,0.25,0,2.0894874428474837e-69
-3124.109,-3402.38,999.0,999.0,-0.75,0.22,0,0.0
-1125.486,2039.306,999.0,999.0,-0.58,0.27,0,6.402437637200762e-242
1056.575,933.777,999.0,999.0,-0.94,0.22,0,1.1280807973844437e-65
1901.626,-1236.259,-0.761,4.23,-0.89,0.22,0,4.459034072491277e-127
-2854.692,2458.81,999.0,999.0,-0.48,0.26,0,0.0
4307.698,-717.357,999.0,999.0,-0.54,0.24,0,0.0
750.126,-2856.719,-125.631,5.35,-0.55,0.3,0,0.0
-359.651,-2377.09,999.0,999.0,-0.76,0.28,0,2.3735889333459597e-282
565.528,-4509.981,999.0,999.0,-0.79,0.27,0,0.0
2551.917,-3832.586,999.0,999.0,-0.92,0.23,0,0.0
4904.004,1871.181,999.0,999.0,-0.81,0.25,0,0.0
2126.057,-3277.587,999.0,999.0,-1.04,0.28,0,0.0
783.466,-3870.273,-88.527,5.19,-0.76,0.2,0,0.0
2948.132,3159.786,999.0,999.0,-0.99,0.21,0,0.0
-4774.352,-1182.618,999.0,999.0,-0.52,0.21,0,0.0
-4497.782,-21.538,999.0,999.0,-1.11,0.28,0,0.0
1523.24,457.259,-30.209,4.2,-0.74,0.22,0,3.101841502459576e-51
-897.7,-1488.773,-12.388,3.15,-1.09,0.24,0,2.6726622252804543e-129
2860.599,2996.947,999.0,999.0,-1.05,0.26,0,0.0
3139.051,-1472.023,999.0,999.0,-1.04,0.2,0,7.641813200583961e-272
4261.191,-1032.944,999.0,999.0,-0.39,0.25,0,0.0
3197.864,3277.07,999.0,999.0,-1.01,0.3,0,0.0
3684.173,3101.377,999.0,999.0,-0.93,0.29,0,0.0
2943.875,1434.006,999.0,999.0,-0.81,0.25,0,4.709260896363275e-280
2492.922,-2608.199,999.0,999.0,-0.71,0.22,0,0.0
310.365,-1519.678,999.0,999.0,-0.77,0.24,0,4.492415784447842e-108
240.918,-4497.759,999.0,999.0,-0.24,0.21,0,0.0
1230.557,-928.955,999.0,999.0,-0.74,0.21,0,6.452974402377602e-59
-2614.327,692.623,999.0,999.0,-0.55,0.22,0,1.4859736943072155e-171
3107.834,2778.994,999.0,999.0,-0.58,0.29,0,0.0
-4190.9,-2326.309,999.0,999.0,-0.21,0.2,0,0.0
2637.717,-4728.625,999.0,999.0,-0.67,0.28,0,0.0
3526.667,769.066,999.0,999.0,-1.0,0.25,0,5.6341585416049095e-272
1977.945,-4382.45,-94.499,4.8,-0.85,0.26,0,0.0
2613.282,-33.602,86.473,3.97,-0.62,0.2,0,4.626404510819439e-122
-4196.29,4710.21,999.0,999.0,-1.23,0.24,0,0.0
1384.907,-1989.035,15.99,4.29,-1.25,0.21,0,1.371249597366063e-214
-2261.544,-3061.25,999.0,999.0,-0.85,0.21,0,0.0
2572.88,-3231.994,999.0,999.0,-0.62,0.22,0,0.0
3916.326,-3489.16,999.0,999.0,-0.84,0.23,0,0.0
-3233.954,-2611.63,999.0,999.0,-0.91,0.25,0,0.0
-3060.484,1482.233,999.0,999.0,-0.96,0.24,0,1.3195071034831883e-307
130.227,4403.132,14.686,2.31,-0.71,0.21,0,0.0
1512.234,4973.258,999.0,999.0,-0.76,0.3,0,0.0
3704.141,2252.844,999.0,999.0,-0.95,0.29,0,0.0
-2003.73,1383.845,999.0,999.0,-1.22,0.24,0,3.5034358085741513e-184
3624.508,4680.163,-95.115,4.23,-0.62,0.25,0,0.0
2294.51,-817.099,999.0,999.0,-0.24,0.29,0,1.0683155735790225e-117
2253.299,-3377.24,-51.445,4.44,-1.18,0.28,0,0.0
-2762.818,557.509,999.0,999.0,-1.02,0.29,0,3.787266241187803e-180
1022.075,4649.326,999.0,999.0,-0.69,0.25,0,0.0
-4910.299,1160.272,999.0,999.0,-0.84,0.25,0,0.0
-4933.506,907.141,-24.98,4.31,-0.47,0.25,0,0.0
-2399.06,-3277.173,999.0,999.0,-0.38,0.24,0,0.0
1365.73,4676.104,-70.894,5.58,-0.62,0.27,0,0.0
1843.478,-1852.637,999.0,999.0,-0.75,0.24,0,3.445837023123557e-214
-2445.508,2232.489,999.0,999.0,-0.21,0.26,0,0.0
-4401.983,-3692.796,999.0,999.0,-0.72,0.23,0,0.0
1028.417,4081.674,999.0,999.0,-0.43,0.24,0,0.0
177.492,3179.377,999.0,999.0,-0.75,0.2,0,0.0
4356.003,-2138.891,-61.29,4.25,-0.14,0.2,0,0.0
-2091.002,1951.714,999.0,999.0,-1.02,0.22,0,1.5047110532073456e-286
1979.435,-1846.26,999.0,999.0,-1.03,0.24,0,3.8611829685967555e-222
-4394.284,2278.511,44.751,4.54,-0.53,0.29,0,0.0
4381.206,-4835.545,999.0,999.0,-1.19,0.27,0,0.0
-1095.559,2719.583,999.0,999.0,-0.31,0.23,0,0.0
3418.389,-342.235,-33.534,4.63,-1.22,0.27,0,1.042197470541037e-217
-4138.641,-2485.267,999.0,999.0,-0.25,0.24,0,0.0
2255.831,4421.59,999.0,999.0,-0.71,0.2,0,0.0
3292.924,3864.415,50.516,4.67,-0.64,0.24,0,0.0
2236.57,-221.588,999.0,999.0,-0.78,0.26,0,1.4147906386265336e-87
-425.415,100.503,999.0,999.0,-0.68,0.24,0,0.00019366424286888336
1823.194,4076.677,999.0,999.0,-1.0,0.24,0,0.0
3338.094,-1479.055,999.0,999.0,-0.2,0.2,0,5.163334935985131e-297
-1191.913,-4529.122,999.0,999.0,-0.51,0.23,0,0.0
1599.775,4273.53,999.0,999.0,-0.01,0.25,0,0.0
